{;lon;lat;id;tags{;name;ref:vatin;addr:postcode;addr:city;start_date;addr:street;addr:housenumber;};}
;7.66173175625908;45.018047340282401;37;;I Portici Di A.l.m. Sas Del Dr. Lorenzetti Paolo E C.;IT11181590016;_10125;Torino;01/07/2017;Via Nizza;_15;;
;7.68359135500964;45.058709225098802;38;;San Salvario Della Dott.ssa Boglietti Piera E C.;IT00510870017;_10125;Torino;01/03/2013;Via Madama Cristina;_14;;
;7.67913285582087;45.052374903181601;39;;Santa Matilde Di Richiardi Dr.ssa Cristina;IT10194520010;_10126;Torino;01/03/2010;Via Madama Cristina;_78;;
;7.67896;45.062683;40;;Comunale 25 - Afc;IT09971950010;_10125;Torino;01/08/2010;c/o FF. SS. - Porta Nuova;_;;
;7.66173175625908;45.018047340282401;41;;Gani Snc Di Gani Grazia E Dallosta Roberto;IT09368300019;_10126;Torino;01/01/2008;Via Nizza;_108;;
;7.66173175625908;45.018047340282401;42;;Sacro Cuore Snc Dei Dott.ri Ferrato Adolfo E Cravini Stefania Maria;IT10005770010;_10126;Torino;01/09/2009;Via Nizza;_115;;
;7.66173175625908;45.018047340282401;43;;Nizza;IT06372790011;_10125;Torino;01/01/2005;Via Nizza;_65;;
;7.68071955307557;45.049345352019103;44;;Torino Esposizioni Di Albertini Dott.ssa F. E Robba Dott.ssa M. Snc;IT06424110010;_10126;Torino;01/01/2008;Corso Massimo D`Azeglio;_100;;
;7.3326621;44.87723385;45;;Del Corso Della Dott.ssa Barake Karen;IT09542330015;_10125;Torino;01/07/2017;Corso Vittorio Emanuele II;_4;;
;7.66173175625908;45.018047340282401;46;;San Salvatore;IT06757040016;_10125;Torino;01/01/2005;Via Nizza;_27;;
;7.67086837625355;45.047752474475502;47;;Dante;IT07141030010;_10126;Torino;01/01/2005;Corso Dante;_78;;
;7.67913285582087;45.052374903181601;48;;Borgarelli Dei Dott.ri G. E P. Borgarelli Snc;IT07852990014;_10125;Torino;01/01/2008;Via Madama Cristina;_62;;
;7.68242703100911;45.0586002563752;49;;Cavallo Snc Dei Dr.i Guzzinati Mauro E Cavallo Silvia;IT11434650013;_10125;Torino;01/07/2017;Via Claudio Luigi Berthollet;_10;;
;7.67913285582087;45.052374903181601;50;;Portis;IT00551200017;_10125;Torino;01/01/2005;Via Madama Cristina;_37;;
;7.66968094120049;45.052817035104603;51;;Mauriziana Di Gsg Di Ielo Stefania E C.;IT10285940010;_10128;Torino;01/03/2013;Corso Filippo Turati;_38/c;;
;7.65983713178448;45.055855422458897;52;;Borgo Crocetta;IT04750620017;_10129;Torino;01/01/2005;Corso Alcide De Gasperi;_6;;
;7.67760957745872;45.062978823727804;53;;Picco Tavano;IT02138360066;_10128;Torino;01/09/2010;Via Paolo Sacchi;_46;;
;7.87513326575747;45.035343542136303;54;;Sant'antonio;IT04838730010;_10128;Torino;01/01/2005;Corso Vittorio Emanuele;_121;;
;7.65983713178448;45.055855422458897;55;;Maria Cristina Sas Del Dr. Pautasso Renato E C;IT10313740010;_10129;Torino;01/08/2010;Corso Alcide De Gasperi;_69;;
;7.6697114;45.0564781;56;;Sant'anna Snc Di Ferrato Adolfo, Becucci Alessandra E Ferrato Paola;IT11050450011;_10128;Torino;01/07/2017;Corso Germano Sommelier;_31;;
;7.66360478243208;45.065315600547699;57;;Leva Snc Di Calliero Paolo E Formiglia Mauro;IT09858330013;_10128;Torino;01/02/2016;Corso Stati Uniti;_5;;
;7.65866071520534;45.056560697749099;58;;Daniele;IT05810710011;_10129;Torino;01/01/2005;Corso Duca degli Abruzzi;_66;;
;7.49433400791429;45.160631279708397;59;;San Secondo;IT01167810058;_10128;Torino;01/01/2008;Via San Secondo;_9;;
;7.67221379367731;45.062403425519399;60;;Re Umberto Snc Delle Dott.sse Pagliero P. E Rosa M. V.;IT07493500016;_10128;Torino;01/01/2008;Corso Re Umberto;_38;;
;7.6859719;45.0709201;61;;Galileo Farmabivi Snc Di Bigliani L. E Vico M.;IT05167390011;_10128;Torino;01/04/2007;Largo Umberto 114/A;_;;
;7.67760957745872;45.062978823727804;62;;Porta Nuova;IT08210640010;_10128;Torino;01/01/2005;Via Paolo Sacchi;_4;;
;7.49433400791429;45.160631279708397;63;;Del Leone;IT08334970012;_10128;Torino;01/01/2005;Via San Secondo;_46;;
;7.58458481682612;45.069117539470199;64;;Magno Francone Roberta;IT08337030012;_10129;Torino;01/01/2005;Via Cristoforo Colombo;_42;;
;7.66173175625908;45.018047340282401;65;;Delle Molinette;IT09687190018;_10126;Torino;01/09/2010;Via Nizza;_183;;
;7.66173175625908;45.018047340282401;66;;Lingotto Cocirio Davide;IT07813090011;_10127;Torino;01/01/2005;Via Nizza;_354;;
;7.54189669814742;45.002804037387797;67;;Santa Gemma Di Farmapiu' Torino Sas Della Dr.ssa Calatroni Daniela;IT10123670019;_10126;Torino;01/03/2013;Via Genova;_89/H;;
;7.67126065;45.03738245;68;;Comunale 46 Afc;IT00529840019;_10126;Torino;01/04/2007;Piazza Camillo Bozzolo;_11;;
;7.44171859234046;45.0264607173415;69;;San Giacomo Sas Del Dr. Bonino Filippo E C.;IT10193850012;_10126;Torino;01/03/2010;Via Genova;_122;;
;7.54189669814742;45.002804037387797;70;;Farmacia Millefonti S.n.c.;IT11758040015;_10126;Torino;01/04/2018;Via Nizza 249;_;;
;7.66173175625908;45.018047340282401;71;;Tetti Fre';IT07266060016;_10126;Torino;01/01/2005;Via Nizza;_214;;
;7.6859719;45.0709201;72;;San Dario;IT07646770011;_10127;Torino;01/01/2005;Via Genova;_179/F;;
;7.65661162206755;45.019746327927599;73;;Santa Rosalia;IT08194730019;_10127;Torino;01/01/2005;Corso Maroncelli;_28;;
;7.64605606129843;45.023415416499603;74;;Comunale 8 - Afc;IT09971950010;_10135;Torino;01/09/2010;Corso Traiano;_22/E;;
